,Snotel Site,R Square
0,Battle Mountain.csv,[1.         0.20499644]
1,Bear River.csv,[ 1.         -0.02546748]
2,Bison Lake.csv,[1.         0.24937471]
3,Buffalo Park.csv,[1.         0.20200053]
4,Burro Mountain.csv,[ 1.         -0.23260646]
5,Columbine.csv,[1.         0.02568868]
6,Crosho.csv,[ 1.         -0.33884313]
7,Divide Peak.csv,[ 1.         -0.14175425]
8,Dry Lake.csv,[ 1.         -0.05855156]
9,Elk River.csv,[ 1.         -0.14112386]
10,Little Snake River.csv,[ 1.         -0.02931078]
11,Lost Dog.csv,[ 1.         -0.19113507]
12,Lynx Pass.csv,[1.         0.12798015]
13,Old Battle.csv,[1.         0.18156089]
14,Rabbit Ears.csv,[ 1.         -0.12690547]
15,Ripple Creek.csv,[1.         0.08019425]
16,Sage Creek Basin.csv,[ 1.         -0.01259382]
17,Sandstone RS.csv,[ 1.        -0.0055087]
18,Tower.csv,[1.         0.28128849]
19,Trapper Lake.csv,[1.         0.04455383]
20,Whiskey Park.csv,[1.         0.03018851]
